Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Gorilla.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSPTRP00000029184	ENSBTAP00000056380	ENSGALP00000025111	ENSGGOP00000013453	ENSP00000254037	ENSMMUP00000036803	ENSMUSP00000022121	ENSRNOP00000073298	ENSXETP00000057849
ENSPTRP00000000173	ENSBTAP00000022240	ENSGALP00000043475	ENSGGOP00000022269	ENSP00000366934	ENSMMUP00000031197	ENSMUSP00000081133	ENSRNOP00000013535	ENSXETP00000062649
ENSPTRP00000060558		ENSGALP00000026648			ENSMMUP00000049075			ENSXETP00000002442
ENSPTRP00000048131	ENSBTAP00000045403		ENSGGOP00000004959	ENSP00000384971	ENSMMUP00000045166	ENSMUSP00000020853	ENSRNOP00000070621	
ENSPTRP00000029175	ENSBTAP00000010103	ENSGALP00000041459	ENSGGOP00000018031	ENSP00000396308	ENSMMUP00000051776	ENSMUSP00000022218	ENSRNOP00000018259	ENSXETP00000049617
ENSPTRP00000000203	ENSBTAP00000024320	ENSGALP00000003489	ENSGGOP00000024477	ENSP00000338629	ENSMMUP00000040632	ENSMUSP00000101307	ENSRNOP00000024443	ENSXETP00000059032
ENSPTRP00000034348	ENSBTAP00000013251		ENSGGOP00000007147	ENSP00000380904	ENSMMUP00000030572	ENSMUSP00000000793	ENSRNOP00000013390	ENSXETP00000023103
ENSPTRP00000005545	ENSBTAP00000054273	ENSGALP00000011025	ENSGGOP00000010570	ENSP00000398722	ENSMMUP00000004830	ENSMUSP00000130360	ENSRNOP00000048948	ENSXETP00000041328
ENSPTRP00000023750	ENSBTAP00000051892	ENSGALP00000025204		ENSP00000343331	ENSMMUP00000054214	ENSMUSP00000053447	ENSRNOP00000041652	
ENSPTRP00000005534	ENSBTAP00000048042	ENSGALP00000054175	ENSGGOP00000010519	ENSP00000322419	ENSMMUP00000004280	ENSMUSP00000081474	ENSRNOP00000054740	ENSXETP00000041249
ENSPTRP00000005535	ENSBTAP00000029866	ENSGALP00000023449	ENSGGOP00000010527	ENSP00000337701		ENSMUSP00000127149	ENSRNOP00000025826	ENSXETP00000041256
ENSPTRP00000029178	ENSBTAP00000034928	ENSGALP00000025104	ENSGGOP00000006831	ENSP00000265080	ENSMMUP00000046122	ENSMUSP00000096930	ENSRNOP00000069761	ENSXETP00000049626
ENSPTRP00000060964	ENSBTAP00000034928	ENSGALP00000025104	ENSGGOP00000006831	ENSP00000265080	ENSMMUP00000046122	ENSMUSP00000096930	ENSRNOP00000069761	ENSXETP00000049626
ENSPTRP00000032380	ENSBTAP00000054298	ENSGALP00000017577	ENSGGOP00000003411	ENSP00000308606	ENSMMUP00000021064	ENSMUSP00000049212	ENSRNOP00000073372	ENSXETP00000049321
ENSPTRP00000009701	ENSBTAP00000010916	ENSGALP00000027624	ENSGGOP00000016520	ENSP00000372206	ENSMMUP00000017569	ENSMUSP00000022518	ENSRNOP00000075559	ENSXETP00000058943
ENSPTRP00000055352		ENSGALP00000000771	ENSGGOP00000006658	ENSP00000054668	ENSMMUP00000000838	ENSMUSP00000030803	ENSRNOP00000024798	
ENSPTRP00000005538	ENSBTAP00000041488	ENSGALP00000032053	ENSGGOP00000010535	ENSP00000435299	ENSMMUP00000027152	ENSMUSP00000055899	ENSRNOP00000066436	ENSXETP00000041262
ENSPTRP00000032381	ENSBTAP00000010187	ENSGALP00000047347	ENSGGOP00000023148	ENSP00000242057	ENSMMUP00000016005	ENSMUSP00000112137	ENSRNOP00000006618	ENSXETP00000049310
ENSPTRP00000005541	ENSBTAP00000051660	ENSGALP00000038261	ENSGGOP00000010546	ENSP00000380565	ENSMMUP00000058232	ENSMUSP00000101622	ENSRNOP00000066223	ENSXETP00000041276
ENSPTRP00000032379	ENSBTAP00000033750	ENSGALP00000017578	ENSGGOP00000012542	ENSP00000391490	ENSMMUP00000022436	ENSMUSP00000020898	ENSRNOP00000068828	ENSXETP00000049323
ENSPTRP00000000191	ENSBTAP00000019438	ENSGALP00000034600	ENSGGOP00000022431	ENSP00000054666	ENSMMUP00000024413	ENSMUSP00000030797	ENSRNOP00000048364	ENSXETP00000018103
ENSPTRP00000043002		ENSGALP00000000796	ENSGGOP00000028540	ENSP00000482093	ENSMMUP00000055057	ENSMUSP00000099493	ENSRNOP00000076026	ENSXETP00000010997
ENSPTRP00000000215		ENSGALP00000049945	ENSGGOP00000012634	ENSP00000383698	ENSMMUP00000025009	ENSMUSP00000059106	ENSRNOP00000052384	ENSXETP00000026017
ENSPTRP00000047839				ENSP00000382592				
ENSPTRP00000009705	ENSBTAP00000019161		ENSGGOP00000011196	ENSP00000372035	ENSMMUP00000024992	ENSMUSP00000022531	ENSRNOP00000072969	ENSXETP00000021164
ENSPTRP00000043366	ENSBTAP00000021039		ENSGGOP00000008593	ENSP00000349208	ENSMMUP00000042983	ENSMUSP00000047385	ENSRNOP00000013284	ENSXETP00000023096
ENSPTRP00000032389	ENSBTAP00000004971	ENSGALP00000048627	ENSGGOP00000024455	ENSP00000408617	ENSMMUP00000014627	ENSMUSP00000106443	ENSRNOP00000005521	ENSXETP00000029457
ENSPTRP00000039710		ENSGALP00000055806	ENSGGOP00000021704		ENSMMUP00000046362		ENSRNOP00000064975	ENSXETP00000013455
ENSPTRP00000023760	ENSBTAP00000003394	ENSGALP00000048865	ENSGGOP00000022282	ENSP00000285670	ENSMMUP00000031311	ENSMUSP00000109877	ENSRNOP00000074870	ENSXETP00000050031
ENSPTRP00000029170	ENSBTAP00000040363	ENSGALP00000025073	ENSGGOP00000027314	ENSP00000282226	ENSMMUP00000059522	ENSMUSP00000045024	ENSRNOP00000032254	ENSXETP00000039386
ENSPTRP00000060437	ENSBTAP00000040363	ENSGALP00000025073	ENSGGOP00000027314	ENSP00000282226	ENSMMUP00000059522	ENSMUSP00000045024	ENSRNOP00000032254	ENSXETP00000039386
ENSPTRP00000029173	ENSBTAP00000050481		ENSGGOP00000009655	ENSP00000339802	ENSMMUP00000025577	ENSMUSP00000054330	ENSRNOP00000058526	ENSXETP00000058825
ENSPTRP00000039469	ENSBTAP00000017155	ENSGALP00000025206	ENSGGOP00000004568	ENSP00000285667	ENSMMUP00000026445	ENSMUSP00000048817	ENSRNOP00000070174	ENSXETP00000012873
ENSPTRP00000044681								
ENSPTRP00000048320								
ENSPTRP00000010318	ENSBTAP00000026604	ENSGALP00000027097	ENSGGOP00000015044	ENSP00000353549	ENSMMUP00000035986	ENSMUSP00000047950	ENSRNOP00000023736	ENSXETP00000005489
ENSPTRP00000061261								
ENSPTRP00000023752	ENSBTAP00000045656	ENSGALP00000029754	ENSGGOP00000027795	ENSP00000383421	ENSMMUP00000026438	ENSMUSP00000109891	ENSRNOP00000046624	ENSXETP00000012868
ENSPTRP00000048314	ENSBTAP00000052023	ENSGALP00000010643	ENSGGOP00000008231	ENSP00000371394	ENSMMUP00000037786	ENSMUSP00000113545	ENSRNOP00000027454	ENSXETP00000010064
								
ENSPTRP00000009711	ENSBTAP00000008119	ENSGALP00000046757	ENSGGOP00000025913	ENSP00000371905	ENSMMUP00000009670	ENSMUSP00000086900	ENSRNOP00000059785	ENSXETP00000015507
ENSPTRP00000005503	ENSBTAP00000055198		ENSGGOP00000024652	ENSP00000380713	ENSMMUP00000028530	ENSMUSP00000038444	ENSRNOP00000023219	ENSXETP00000013302
ENSPTRP00000047840								
ENSPTRP00000029163	ENSBTAP00000002123	ENSGALP00000023842	ENSGGOP00000015669	ENSP00000426237	ENSMMUP00000053038	ENSMUSP00000047547	ENSRNOP00000060697	ENSXETP00000001058
ENSPTRP00000055050		ENSGALP00000026648			ENSMMUP00000049075			ENSXETP00000002442
ENSPTRP00000032375	ENSBTAP00000014576	ENSGALP00000017545	ENSGGOP00000007363	ENSP00000303570	ENSMMUP00000022428	ENSMUSP00000039484	ENSRNOP00000074676	ENSXETP00000049326
ENSPTRP00000048336	ENSBTAP00000056140	ENSGALP00000050187	ENSGGOP00000008144	ENSP00000264555	ENSMMUP00000046697	ENSMUSP00000101648	ENSRNOP00000046880	ENSXETP00000013295
ENSPTRP00000060732		ENSGALP00000026829	ENSGGOP00000025222	ENSP00000370546	ENSMMUP00000032889			ENSXETP00000012463
ENSPTRP00000059870		ENSGALP00000026829	ENSGGOP00000025222	ENSP00000370546	ENSMMUP00000032889			ENSXETP00000012463
ENSPTRP00000037038	ENSBTAP00000017744	ENSGALP00000026833			ENSMMUP00000059178			ENSXETP00000010937
ENSPTRP00000038766								
ENSPTRP00000032377	ENSBTAP00000045408	ENSGALP00000052296	ENSGGOP00000018587	ENSP00000397249	ENSMMUP00000022431	ENSMUSP00000020856	ENSRNOP00000007414	ENSXETP00000049325
ENSPTRP00000000174	ENSBTAP00000022243		ENSGGOP00000006666	ENSP00000331867	ENSMMUP00000023918	ENSMUSP00000030792	ENSRNOP00000013385	
ENSPTRP00000009694	ENSBTAP00000027188	ENSGALP00000027629	ENSGGOP00000001737	ENSP00000241125	ENSMMUP00000045076	ENSMUSP00000059587	ENSRNOP00000011699	ENSXETP00000055229
ENSPTRP00000053675	ENSBTAP00000023167	ENSGALP00000027628	ENSGGOP00000016284	ENSP00000372295	ENSMMUP00000013790	ENSMUSP00000054343	ENSRNOP00000011711	ENSXETP00000055228
ENSPTRP00000029192	ENSBTAP00000040350	ENSGALP00000025133	ENSGGOP00000005093	ENSP00000421491		ENSMUSP00000022115	ENSRNOP00000048754	ENSXETP00000057859
ENSPTRP00000041093	ENSBTAP00000052852	ENSGALP00000027628	ENSGGOP00000004615	ENSP00000348521	ENSMMUP00000030663	ENSMUSP00000035630	ENSRNOP00000011828	ENSXETP00000055228
ENSPTRP00000000176	ENSBTAP00000022249	ENSGALP00000000907	ENSGGOP00000006679	ENSP00000366902	ENSMMUP00000059996	ENSMUSP00000067521	ENSRNOP00000012745	ENSXETP00000024275
ENSPTRP00000042288		ENSGALP00000014811		ENSP00000483103	ENSMMUP00000002415	ENSMUSP00000108449	ENSRNOP00000064010	ENSXETP00000054401
ENSPTRP00000042564		ENSGALP00000014811		ENSP00000448062	ENSMMUP00000041817	ENSMUSP00000108449	ENSRNOP00000064010	ENSXETP00000054401
ENSPTRP00000060809				ENSP00000485043				
ENSPTRP00000049955			ENSGGOP00000015879					
ENSPTRP00000060329					ENSMMUP00000022061	ENSMUSP00000030326	ENSRNOP00000049620	
ENSPTRP00000061395	ENSBTAP00000004699	ENSGALP00000043726		ENSP00000322323		ENSMUSP00000026972	ENSRNOP00000001783	
ENSPTRP00000060975								
ENSPTRP00000019784	ENSBTAP00000054526		ENSGGOP00000001343	ENSP00000398617	ENSMMUP00000050060	ENSMUSP00000133885	ENSRNOP00000041434	
ENSPTRP00000055521		ENSGALP00000003285	ENSGGOP00000028088	ENSP00000382086				ENSXETP00000027569
ENSPTRP00000060213	ENSBTAP00000016726	ENSGALP00000008415	ENSGGOP00000027622			ENSMUSP00000025002	ENSRNOP00000025434	ENSXETP00000035025
ENSPTRP00000057009	ENSBTAP00000035305		ENSGGOP00000006814		ENSMMUP00000028649	ENSMUSP00000001008	ENSRNOP00000015139	
ENSPTRP00000060534	ENSBTAP00000034744			ENSP00000344420	ENSMMUP00000034546	ENSMUSP00000098048	ENSRNOP00000070461	
ENSPTRP00000060064	ENSBTAP00000034744			ENSP00000344420	ENSMMUP00000034546	ENSMUSP00000098048	ENSRNOP00000070461	
ENSPTRP00000059292	ENSBTAP00000019323	ENSGALP00000033634	ENSGGOP00000025117	ENSP00000346508	ENSMMUP00000006558	ENSMUSP00000075463	ENSRNOP00000074787	ENSXETP00000060987
ENSPTRP00000058323		ENSGALP00000026866		ENSP00000334113	ENSMMUP00000015614	ENSMUSP00000076472	ENSRNOP00000031241	ENSXETP00000033608
ENSPTRP00000060667			ENSGGOP00000019815					
ENSPTRP00000061215				ENSP00000485457				
ENSPTRP00000013580	ENSBTAP00000019507		ENSGGOP00000001930	ENSP00000324792	ENSMMUP00000044309	ENSMUSP00000075094	ENSRNOP00000073844	
ENSPTRP00000042514	ENSBTAP00000019510		ENSGGOP00000001935	ENSP00000309945	ENSMMUP00000009087	ENSMUSP00000032994	ENSRNOP00000024185	ENSXETP00000020748
ENSPTRP00000056922	ENSBTAP00000028315		ENSGGOP00000001936	ENSP00000378845	ENSMMUP00000009089	ENSMUSP00000032997	ENSRNOP00000023563	
ENSPTRP00000055169			ENSGGOP00000019170	ENSP00000411140				
ENSPTRP00000041450			ENSGGOP00000019170	ENSP00000411140				
ENSPTRP00000047163		ENSGALP00000048935				ENSMUSP00000121729		
ENSPTRP00000054850	ENSBTAP00000006308	ENSGALP00000058351	ENSGGOP00000024938		ENSMMUP00000003996	ENSMUSP00000023363	ENSRNOP00000004459	ENSXETP00000012169
ENSPTRP00000013538			ENSGGOP00000019170	ENSP00000411140				
ENSPTRP00000053300		ENSGALP00000051054	ENSGGOP00000013259					
ENSPTRP00000000628	ENSBTAP00000001706	ENSGALP00000046787	ENSGGOP00000011915	ENSP00000363478	ENSMMUP00000040519	ENSMUSP00000030626	ENSRNOP00000023221	ENSXETP00000056272
ENSPTRP00000060243			ENSGGOP00000018740					
ENSPTRP00000060734								
ENSPTRP00000054022	ENSBTAP00000020123		ENSGGOP00000028139	ENSP00000375683	ENSMMUP00000041345	ENSMUSP00000032955	ENSRNOP00000025299	ENSXETP00000029682
ENSPTRP00000044469	ENSBTAP00000029092		ENSGGOP00000004841	ENSP00000337014	ENSMMUP00000021121	ENSMUSP00000046659	ENSRNOP00000028781	ENSXETP00000024156
ENSPTRP00000028905			ENSGGOP00000018698					
ENSPTRP00000011713	ENSBTAP00000035073		ENSGGOP00000001911	ENSP00000354497	ENSMMUP00000012332	ENSMUSP00000130012	ENSRNOP00000032711	ENSXETP00000053257
ENSPTRP00000011718	ENSBTAP00000019182	ENSGALP00000006169	ENSGGOP00000001917	ENSP00000402537	ENSMMUP00000012333	ENSMUSP00000032736	ENSRNOP00000021530	ENSXETP00000035977
ENSPTRP00000053290			ENSGGOP00000000515					
ENSPTRP00000011720	ENSBTAP00000010233	ENSGALP00000006104	ENSGGOP00000016359	ENSP00000437849	ENSMMUP00000045908	ENSMUSP00000082318	ENSRNOP00000021262	ENSXETP00000035969
ENSPTRP00000060000		ENSGALP00000058039		ENSP00000375045	ENSMMUP00000059804	ENSMUSP00000100273	ENSRNOP00000074446	ENSXETP00000010497
ENSPTRP00000011722		ENSGALP00000045830	ENSGGOP00000007732	ENSP00000302456	ENSMMUP00000051334	ENSMUSP00000067680	ENSRNOP00000063436	ENSXETP00000035944
ENSPTRP00000037544	ENSBTAP00000006178	ENSGALP00000051461	ENSGGOP00000024124	ENSP00000337976	ENSMMUP00000025996	ENSMUSP00000111300	ENSRNOP00000008399	
ENSPTRP00000049963			ENSGGOP00000017333					
ENSPTRP00000051957	ENSBTAP00000023034		ENSGGOP00000024212	ENSP00000462600	ENSMMUP00000030100			
ENSPTRP00000060913	ENSBTAP00000041066	ENSGALP00000011811				ENSMUSP00000021217	ENSRNOP00000003611	ENSXETP00000024764
ENSPTRP00000049292	ENSBTAP00000055310			ENSP00000484875	ENSMMUP00000039115	ENSMUSP00000058575		ENSXETP00000003509
ENSPTRP00000043948	ENSBTAP00000023544	ENSGALP00000006227	ENSGGOP00000012371	ENSP00000310149	ENSMMUP00000009448	ENSMUSP00000031521	ENSRNOP00000075407	ENSXETP00000046742
ENSPTRP00000059788	ENSBTAP00000020289	ENSGALP00000042779	ENSGGOP00000028613	ENSP00000342015		ENSMUSP00000062046	ENSRNOP00000064079	ENSXETP00000060140
ENSPTRP00000061191	ENSBTAP00000036940	ENSGALP00000006013	ENSGGOP00000012337	ENSP00000265857	ENSMMUP00000022458	ENSMUSP00000026976	ENSRNOP00000001745	ENSXETP00000046760
ENSPTRP00000028596			ENSGGOP00000027895	ENSP00000283426				
ENSPTRP00000032154	ENSBTAP00000053997	ENSGALP00000005991	ENSGGOP00000012328	ENSP00000384015	ENSMMUP00000022451	ENSMUSP00000056655	ENSRNOP00000071265	ENSXETP00000046766
ENSPTRP00000028597	ENSBTAP00000055155	ENSGALP00000057502	ENSGGOP00000002623	ENSP00000327675		ENSMUSP00000022064	ENSRNOP00000032819	ENSXETP00000003762
ENSPTRP00000039727	ENSBTAP00000054191	ENSGALP00000049581	ENSGGOP00000002625	ENSP00000296824	ENSMMUP00000051862	ENSMUSP00000022063	ENSRNOP00000017779	ENSXETP00000050582
